PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
992,1,1,female,43.0,1,0,55.4417,C
993,0,2,male,27.0,1,0,26.0,S
995,0,3,male,26.0,0,0,7.775,S
996,1,3,female,16.0,1,1,8.5167,C
997,0,3,male,28.0,0,0,22.525,S
998,0,3,male,21.0,0,0,7.8208,Q
1001,0,2,male,18.5,0,0,13.0,S
1002,0,2,male,41.0,0,0,15.0458,C
1004,1,1,female,36.0,0,0,31.6792,C
1005,1,3,female,18.5,0,0,7.2833,Q
1006,1,1,female,63.0,1,0,221.7792,S
1007,0,3,male,18.0,1,0,14.4542,C
1009,1,3,female,1.0,1,1,16.7,S
1010,0,1,male,36.0,0,0,75.2417,C
1011,1,2,female,29.0,1,0,26.0,S
1012,1,2,female,12.0,0,0,15.75,S
1014,1,1,female,35.0,1,0,57.75,C
1015,0,3,male,28.0,0,0,7.25,S
1017,1,3,female,17.0,0,1,16.1,S
1018,0,3,male,22.0,0,0,7.7958,S
1020,0,2,male,42.0,0,0,13.0,S
1021,0,3,male,24.0,0,0,8.05,S
1022,0,3,male,32.0,0,0,8.05,S
1023,0,1,male,53.0,0,0,28.5,C
1026,0,3,male,43.0,0,0,7.8958,S
1027,0,3,male,24.0,0,0,7.8542,S
1028,0,3,male,26.5,0,0,7.225,C
1029,0,2,male,26.0,0,0,13.0,S
1030,1,3,female,23.0,0,0,8.05,S
1031,0,3,male,40.0,1,6,46.9,S
1032,1,3,female,10.0,5,2,46.9,S
1033,1,1,female,33.0,0,0,151.55,S
1034,0,1,male,61.0,1,3,262.375,C
1035,0,2,male,28.0,0,0,26.0,S
1036,0,1,male,42.0,0,0,26.55,S
1037,0,3,male,31.0,3,0,18.0,S
1039,0,3,male,22.0,0,0,8.05,S
1041,0,2,male,30.0,1,1,26.0,S
1042,1,1,female,23.0,0,1,83.1583,C
1045,1,3,female,36.0,0,2,12.1833,S
1046,0,3,male,13.0,4,2,31.3875,S
1047,0,3,male,24.0,0,0,7.55,S
1048,1,1,female,29.0,0,0,221.7792,S
1049,1,3,female,23.0,0,0,7.8542,S
1050,0,1,male,42.0,0,0,26.55,S
1051,1,3,female,26.0,0,2,13.775,S
1053,0,3,male,7.0,1,1,15.2458,C
1054,1,2,female,26.0,0,0,13.5,S
1056,0,2,male,41.0,0,0,13.0,S
1057,1,3,female,26.0,1,1,22.025,S
1058,0,1,male,48.0,0,0,50.4958,C
1059,0,3,male,18.0,2,2,34.375,S
1061,1,3,female,22.0,0,0,8.9625,S
1063,0,3,male,27.0,0,0,7.225,C
1064,0,3,male,23.0,1,0,13.9,S
1066,0,3,male,40.0,1,5,31.3875,S
1067,1,2,female,15.0,0,2,39.0,S
1068,1,2,female,20.0,0,0,36.75,S
1069,0,1,male,54.0,1,0,55.4417,C
1070,1,2,female,36.0,0,3,39.0,S
1071,1,1,female,64.0,0,2,83.1583,C
1072,0,2,male,30.0,0,0,13.0,S
1073,0,1,male,37.0,1,1,83.1583,C
1074,1,1,female,18.0,1,0,53.1,S
1076,1,1,female,27.0,1,1,247.5208,C
1077,0,2,male,40.0,0,0,16.0,S
1078,1,2,female,21.0,0,1,21.0,S
1079,0,3,male,17.0,2,0,8.05,S
1081,0,2,male,40.0,0,0,13.0,S
1082,0,2,male,34.0,1,0,26.0,S
1084,0,3,male,11.5,1,1,14.5,S
1085,0,2,male,61.0,0,0,12.35,Q
1086,0,2,male,8.0,0,2,32.5,S
1087,0,3,male,33.0,0,0,7.8542,S
1088,0,1,male,6.0,0,2,134.5,C
1089,1,3,female,18.0,0,0,7.775,S
1090,0,2,male,23.0,0,0,10.5,S
1093,0,3,male,0.33,0,2,14.4,S
1094,0,1,male,47.0,1,0,227.525,C
1095,1,2,female,8.0,1,1,26.0,S
1096,0,2,male,25.0,0,0,10.5,S
1098,1,3,female,35.0,0,0,7.75,Q
1099,0,2,male,24.0,0,0,10.5,S
1100,1,1,female,33.0,0,0,27.7208,C
1101,0,3,male,25.0,0,0,7.8958,S
1102,0,3,male,32.0,0,0,22.525,S
1104,0,2,male,17.0,0,0,73.5,S
1105,1,2,female,60.0,1,0,26.0,S
1106,1,3,female,38.0,4,2,7.775,S
1107,0,1,male,42.0,0,0,42.5,S
1109,0,1,male,57.0,1,1,164.8667,S
1110,1,1,female,50.0,1,1,211.5,C
1112,1,2,female,30.0,1,0,13.8583,C
1113,0,3,male,21.0,0,0,8.05,S
1114,1,2,female,22.0,0,0,10.5,S
1115,0,3,male,21.0,0,0,7.7958,S
1116,1,1,female,53.0,0,0,27.4458,C
1118,0,3,male,23.0,0,0,7.7958,S
1120,0,3,male,40.5,0,0,15.1,S
1121,0,2,male,36.0,0,0,13.0,S
1122,0,2,male,14.0,0,0,65.0,S
1123,1,1,female,21.0,0,0,26.55,S
1124,0,3,male,21.0,1,0,6.4958,S
1126,0,1,male,39.0,1,0,71.2833,C
1127,0,3,male,20.0,0,0,7.8542,S
1128,0,1,male,64.0,1,0,75.25,C
1129,0,3,male,20.0,0,0,7.225,C
1130,1,2,female,18.0,1,1,13.0,S
1131,1,1,female,48.0,1,0,106.425,C
1132,1,1,female,55.0,0,0,27.7208,C
1133,1,2,female,45.0,0,2,30.0,S
1134,0,1,male,45.0,1,1,134.5,C
1137,0,1,male,41.0,1,0,51.8625,S
1138,1,2,female,22.0,0,0,21.0,S
1139,0,2,male,42.0,1,1,32.5,S
1140,1,2,female,29.0,1,0,26.0,S
1142,1,2,female,0.92,1,2,27.75,S
1143,0,3,male,20.0,0,0,7.925,S
1144,0,1,male,27.0,1,0,136.7792,C
1145,0,3,male,24.0,0,0,9.325,S
1146,0,3,male,32.5,0,0,9.5,S
1149,0,3,male,28.0,0,0,8.05,S
1150,1,2,female,19.0,0,0,13.0,S
1151,0,3,male,21.0,0,0,7.775,S
1152,0,3,male,36.5,1,0,17.4,S
1153,0,3,male,21.0,0,0,7.8542,S
1154,1,2,female,29.0,0,2,23.0,S
1155,1,3,female,1.0,1,1,12.1833,S
1156,0,2,male,30.0,0,0,12.7375,C
1161,0,3,male,17.0,0,0,8.6625,S
1162,0,1,male,46.0,0,0,75.2417,C
1164,1,1,female,26.0,1,0,136.7792,C
1167,1,2,female,20.0,1,0,26.0,S
1168,0,2,male,28.0,0,0,10.5,S
1169,0,2,male,40.0,1,0,26.0,S
1170,0,2,male,30.0,1,0,21.0,S
1171,0,2,male,22.0,0,0,10.5,S
1172,1,3,female,23.0,0,0,8.6625,S
1173,0,3,male,0.75,1,1,13.775,S
1175,1,3,female,9.0,1,1,15.2458,C
1176,1,3,female,2.0,1,1,20.2125,S
1177,0,3,male,36.0,0,0,7.25,S
1179,0,1,male,24.0,1,0,82.2667,S
1183,1,3,female,30.0,0,0,6.95,Q
1185,0,1,male,53.0,1,1,81.8583,S
1186,0,3,male,36.0,0,0,9.5,S
1187,0,3,male,26.0,0,0,7.8958,S
1188,1,2,female,1.0,1,2,41.5792,C
1190,0,1,male,30.0,0,0,45.5,S
1191,0,3,male,29.0,0,0,7.8542,S
1192,0,3,male,32.0,0,0,7.775,S
1194,0,2,male,43.0,0,1,21.0,S
1195,0,3,male,24.0,0,0,8.6625,S
1197,1,1,female,64.0,1,1,26.55,S
1198,0,1,male,30.0,1,2,151.55,S
1199,0,3,male,0.83,0,1,9.35,S
1200,0,1,male,55.0,1,1,93.5,S
1201,1,3,female,45.0,1,0,14.1083,S
1202,0,3,male,18.0,0,0,8.6625,S
1203,0,3,male,22.0,0,0,7.225,C
1205,1,3,female,37.0,0,0,7.75,Q
1206,1,1,female,55.0,0,0,135.6333,C
1207,1,3,female,17.0,0,0,7.7333,Q
1208,0,1,male,57.0,1,0,146.5208,C
1209,0,2,male,19.0,0,0,10.5,S
1210,0,3,male,27.0,0,0,7.8542,S
1211,0,2,male,22.0,2,0,31.5,S
1212,0,3,male,26.0,0,0,7.775,S
1213,0,3,male,25.0,0,0,7.2292,C
1214,0,2,male,26.0,0,0,13.0,S
1215,0,1,male,33.0,0,0,26.55,S
1216,1,1,female,39.0,0,0,211.3375,S
1217,0,3,male,23.0,0,0,7.05,S
1218,1,2,female,12.0,2,1,39.0,S
1219,0,1,male,46.0,0,0,79.2,C
1220,0,2,male,29.0,1,0,26.0,S
1221,0,2,male,21.0,0,0,13.0,S
1222,1,2,female,48.0,0,2,36.75,S
1223,0,1,male,39.0,0,0,29.7,C
1225,1,3,female,19.0,1,1,15.7417,C
1226,0,3,male,27.0,0,0,7.8958,S
1227,0,1,male,30.0,0,0,26.0,S
1228,0,2,male,32.0,0,0,13.0,S
1229,0,3,male,39.0,0,2,7.2292,C
1230,0,2,male,25.0,0,0,31.5,S
1232,0,2,male,18.0,0,0,10.5,S
1233,0,3,male,32.0,0,0,7.5792,S
1235,1,1,female,58.0,0,1,512.3292,C
1237,1,3,female,16.0,0,0,7.65,S
1238,0,2,male,26.0,0,0,13.0,S
1239,1,3,female,38.0,0,0,7.2292,C
1240,0,2,male,24.0,0,0,13.5,S
1241,1,2,female,31.0,0,0,21.0,S
1242,1,1,female,45.0,0,1,63.3583,C
1243,0,2,male,25.0,0,0,10.5,S
1244,0,2,male,18.0,0,0,73.5,S
1245,0,2,male,49.0,1,2,65.0,S
1246,1,3,female,0.17,1,2,20.575,S
1247,0,1,male,50.0,0,0,26.0,S
1248,1,1,female,59.0,2,0,51.4792,S
1251,1,3,female,30.0,1,0,15.55,S
1252,0,3,male,14.5,8,2,69.55,S
1253,1,2,female,24.0,1,1,37.0042,C
1254,1,2,female,31.0,0,0,21.0,S
1255,0,3,male,27.0,0,0,8.6625,S
1256,1,1,female,25.0,1,0,55.4417,C
1259,1,3,female,22.0,0,0,39.6875,S
1260,1,1,female,45.0,0,1,59.4,C
1261,0,2,male,29.0,0,0,13.8583,C
1262,0,2,male,21.0,1,0,11.5,S
1263,1,1,female,31.0,0,0,134.5,C
1264,0,1,male,49.0,0,0,0.0,S
1265,0,2,male,44.0,0,0,13.0,S
1266,1,1,female,54.0,1,1,81.8583,S
1267,1,1,female,45.0,0,0,262.375,C
1268,1,3,female,22.0,2,0,8.6625,S
1269,0,2,male,21.0,0,0,11.5,S
1270,0,1,male,55.0,0,0,50.0,S
1271,0,3,male,5.0,4,2,31.3875,S
1273,0,3,male,26.0,0,0,7.8792,Q
1275,1,3,female,19.0,1,0,16.1,S
1277,1,2,female,24.0,1,2,65.0,S
1278,0,3,male,24.0,0,0,7.775,S
1279,0,2,male,57.0,0,0,13.0,S
1280,0,3,male,21.0,0,0,7.75,Q
1281,0,3,male,6.0,3,1,21.075,S
1282,0,1,male,23.0,0,0,93.5,S
1283,1,1,female,51.0,0,1,39.4,S
1284,0,3,male,13.0,0,2,20.25,S
1285,0,2,male,47.0,0,0,10.5,S
1286,0,3,male,29.0,3,1,22.025,S
1287,1,1,female,18.0,1,0,60.0,S
1288,0,3,male,24.0,0,0,7.25,Q
1289,1,1,female,48.0,1,1,79.2,C
1290,0,3,male,22.0,0,0,7.775,S
1291,0,3,male,31.0,0,0,7.7333,Q
1292,1,1,female,30.0,0,0,164.8667,S
1293,0,2,male,38.0,1,0,21.0,S
1294,1,1,female,22.0,0,1,59.4,C
1295,0,1,male,17.0,0,0,47.1,S
1296,0,1,male,43.0,1,0,27.7208,C
1297,0,2,male,20.0,0,0,13.8625,C
1298,0,2,male,23.0,1,0,10.5,S
1299,0,1,male,50.0,1,1,211.5,C
1301,1,3,female,3.0,1,1,13.775,S
1303,1,1,female,37.0,1,0,90.0,Q
1304,1,3,female,28.0,0,0,7.775,S
1306,1,1,female,39.0,0,0,108.9,C
1307,0,3,male,38.5,0,0,7.25,S
